Name,Time,Cumulative PnL
OfiStrategy,2022-May-02 20:17:12.873340,4035182.095299
OfiStrategy,2022-May-02 20:18:25.573117,4035182.095299
OfiStrategy,2022-May-02 20:19:54.785746,4035182.095299
OfiStrategy,2022-May-02 20:21:02.260344,4035182.095299
OfiStrategy,2022-May-02 20:22:14.813945,4035182.095299
OfiStrategy,2022-May-02 20:23:25.748899,4035182.095299
OfiStrategy,2022-May-02 20:24:59.904414,4035182.095299
OfiStrategy,2022-May-02 20:26:22.761835,4035182.095299
OfiStrategy,2022-May-02 20:27:37.020987,4035182.095299
OfiStrategy,2022-May-02 20:29:09.884119,4035182.095299
OfiStrategy,2022-May-02 20:30:13.977937,4035182.095299
OfiStrategy,2022-May-02 20:31:22.799738,4035182.095299
OfiStrategy,2022-May-02 20:32:48.695546,4035182.095299
OfiStrategy,2022-May-02 20:34:53.249171,4035182.095299
OfiStrategy,2022-May-02 20:36:03.992379,4035182.095299
OfiStrategy,2022-May-02 20:37:54.056871,4035182.095299
OfiStrategy,2022-May-02 20:40:08.574898,4035182.095299
OfiStrategy,2022-May-02 20:41:11.983064,4035182.095299
OfiStrategy,2022-May-02 20:42:30.481069,4035182.095299
OfiStrategy,2022-May-02 20:46:48.627763,4035182.095299
OfiStrategy,2022-May-02 20:48:28.499088,4035182.095299
OfiStrategy,2022-May-02 20:50:57.667758,4035182.095299
OfiStrategy,2022-May-02 20:52:01.444314,4035182.095299
OfiStrategy,2022-May-02 20:53:24.085696,4035182.095299
OfiStrategy,2022-May-02 20:54:25.428559,4035182.095299
OfiStrategy,2022-May-02 20:56:07.380708,4035182.095299
OfiStrategy,2022-May-02 20:57:31.926095,4035182.095299
OfiStrategy,2022-May-02 21:00:00.071223,4035182.095299
OfiStrategy,2022-May-03 04:00:00,4035182.095299
OfiStrategy,2022-May-03 12:49:15.460343,4035182.095299
OfiStrategy,2022-May-03 13:12:09.980126,4035182.095299
OfiStrategy,2022-May-03 13:27:18.517722,4035182.095299
OfiStrategy,2022-May-03 13:30:00.100960,4035182.095299
OfiStrategy,2022-May-03 13:31:00.109767,3942200.575299
OfiStrategy,2022-May-03 13:32:00.164891,3921538.015299
OfiStrategy,2022-May-03 13:33:00.328698,4319292.295299
OfiStrategy,2022-May-03 13:34:00.384381,4489758.415299
OfiStrategy,2022-May-03 13:35:00.527678,4396776.895299
OfiStrategy,2022-May-03 13:36:00.539736,4164323.095299
OfiStrategy,2022-May-03 13:37:00.619843,3900875.455299
OfiStrategy,2022-May-03 13:38:00.729406,3864715.975299
OfiStrategy,2022-May-03 13:39:00.783990,3782065.735299
OfiStrategy,2022-May-03 13:40:00.845966,3859550.335299
OfiStrategy,2022-May-03 13:41:00.888711,4004188.255299
OfiStrategy,2022-May-03 13:42:00.966361,3999022.615299
OfiStrategy,2022-May-03 13:43:01.015661,4308961.015299
OfiStrategy,2022-May-03 13:44:01.080217,4102335.415299
OfiStrategy,2022-May-03 13:45:01.147214,3937034.935299
OfiStrategy,2022-May-03 13:46:01.206225,3668421.655299
OfiStrategy,2022-May-03 13:47:01.334081,3616765.255299
OfiStrategy,2022-May-03 13:48:01.440332,3709746.775299
OfiStrategy,2022-May-03 13:49:01.496157,3792397.015299
OfiStrategy,2022-May-03 13:50:01.562406,3792397.015299
OfiStrategy,2022-May-03 13:51:01.684194,4014519.535299
OfiStrategy,2022-May-03 13:52:01.872402,4252138.975299
OfiStrategy,2022-May-03 13:53:02.040942,4040347.735299
OfiStrategy,2022-May-03 13:54:02.173862,3978360.055299
OfiStrategy,2022-May-03 13:55:02.294031,4215979.495299
